date,week,location,latitude,longitude,location_type,location_id,location_name,collective_bargaining,education,environment,executive,guns,healthcare,immigration,police,race_confed,supreme_court,women,other
1/21/17,1/16/17,"Kona, HI",19.64,-155.997,CBSA,25900,"Hilo, HI",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Erie, PA",42.129,-80.085,CBSA,21500,"Erie, PA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Kahului, Maui, HI",20.889,-156.473,CBSA,27980,"Kahului-Wailuku-Lahaina, HI",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Dayton, OH",39.759,-84.192,CBSA,19380,"Dayton, OH",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Napa, CA",38.298,-122.287,CBSA,34900,"Napa, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Sonoma, CA",38.292,-122.458,CBSA,42220,"Santa Rosa, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Traverse City, MI",44.763,-85.621,CBSA,45900,"Traverse City, MI",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Wichita, KS",37.687,-97.33,CBSA,48620,"Wichita, KS",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Anchorage, AK",61.218,-149.9,CBSA,11260,"Anchorage, AK",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Lincoln, NE",40.826,-96.685,CBSA,30700,"Lincoln, NE",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Buffalo, NY",42.886,-78.878,CBSA,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Grand Rapids, MI",42.963,-85.668,CBSA,24340,"Grand Rapids-Wyoming, MI",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Northampton, MA",42.325,-72.641,CBSA,44140,"Springfield, MA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Columbia, MO",38.952,-92.334,CBSA,17860,"Columbia, MO",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Jackson, MS",32.299,-90.185,CBSA,27140,"Jackson, MS",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Athens, GA",33.952,-83.358,CBSA,12020,"Athens-Clarke County, GA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Denton, TX",33.215,-97.133,CBSA,19100,"Dallas-Fort Worth-Arlington, TX",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Fort Bragg, CA",39.446,-123.805,CBSA,46380,"Ukiah, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Moscow, ID",46.732,-117,CBSA,34140,"Moscow, ID",0,0,0,0,0,0,0,0,0,0,1,0
