topic,count,perc_of_state_protest,state,percentile,high_low
collective_bargaining,2,0.009,UT,0.020833333333333332,low
collective_bargaining,218,0.0872,CA,0.9583333333333334,high
collective_bargaining,13,0.0634,VT,0.7291666666666666,middle
collective_bargaining,30,0.0625,MN,0.7083333333333334,middle
collective_bargaining,11,0.0222,VA,0.16666666666666666,middle
collective_bargaining,17,0.0438,WI,0.5208333333333334,middle
collective_bargaining,25,0.0643,MO,0.75,middle
collective_bargaining,12,0.0239,CO,0.20833333333333334,middle
collective_bargaining,6,0.018,GA,0.10416666666666667,middle
collective_bargaining,68,0.0705,PA,0.7916666666666666,middle
collective_bargaining,85,0.0566,NY,0.6666666666666666,middle
collective_bargaining,71,0.1179,IL,1,high
collective_bargaining,66,0.0899,MA,0.9791666666666666,high
collective_bargaining,30,0.0496,OR,0.5833333333333334,middle
collective_bargaining,26,0.0287,TX,0.2708333333333333,middle
collective_bargaining,15,0.0514,IA,0.6041666666666666,middle
collective_bargaining,7,0.0118,NC,0.0625,low
collective_bargaining,7,0.0208,AZ,0.14583333333333334,middle
collective_bargaining,66,0.0862,MI,0.9375,high
collective_bargaining,4,0.026,NE,0.25,middle
collective_bargaining,7,0.0293,NM,0.2916666666666667,middle
collective_bargaining,5,0.0307,LA,0.3333333333333333,middle
collective_bargaining,6,0.0303,MT,0.3125,middle
collective_bargaining,12,0.0404,ME,0.5,middle
collective_bargaining,13,0.073,NV,0.8125,middle
collective_bargaining,2,0.0114,OK,0.041666666666666664,low
collective_bargaining,6,0.0403,AL,0.4791666666666667,middle
collective_bargaining,20,0.0565,KY,0.6458333333333334,middle
collective_bargaining,46,0.0826,NJ,0.9166666666666666,high
collective_bargaining,8,0.0792,RI,0.8958333333333334,middle
collective_bargaining,9,0.0744,HI,0.8333333333333334,middle
collective_bargaining,3,0.0238,ID,0.1875,middle
collective_bargaining,4,0.0252,NH,0.22916666666666666,middle
collective_bargaining,3,0.0199,KS,0.125,middle
collective_bargaining,7,0.0359,AK,0.3958333333333333,middle
collective_bargaining,4,0.046,MS,0.5416666666666666,middle
collective_bargaining,11,0.0573,WV,0.6875,middle
collective_bargaining,3,0.0126,SC,0.08333333333333333,low
collective_bargaining,2,0.0308,ND,0.3541666666666667,middle
collective_bargaining,3,0.038,DE,0.4583333333333333,middle
supreme_court,3,0.0086,TN,0.30952380952380953,middle
supreme_court,6,0.0154,IN,0.6190476190476191,middle
supreme_court,6,0.0105,OH,0.40476190476190477,middle
supreme_court,7,0.0177,CT,0.6904761904761905,middle
supreme_court,33,0.0878,DC,1,high
supreme_court,8,0.0108,WA,0.42857142857142855,middle
